run,epoch,step,car_AP_0.5,car_AP_1.0,car_AP_2.0,car_AP_4.0,car_ATE,car_ASE,car_AOE,car_AVE,car_AAE,mATE,mASE,mAOE,mAVE,mAAE,truck_AP_0.5,truck_AP_1.0,truck_AP_2.0,truck_AP_4.0,truck_ATE,truck_ASE,truck_AOE,truck_AVE,truck_AAE,construction_vehicle_AP_0.5,construction_vehicle_AP_1.0,construction_vehicle_AP_2.0,construction_vehicle_AP_4.0,construction_vehicle_ATE,construction_vehicle_ASE,construction_vehicle_AOE,construction_vehicle_AVE,construction_vehicle_AAE,bus_AP_0.5,bus_AP_1.0,bus_AP_2.0,bus_AP_4.0,bus_ATE,bus_ASE,bus_AOE,bus_AVE,bus_AAE,trailer_AP_0.5,trailer_AP_1.0,trailer_AP_2.0,trailer_AP_4.0,trailer_ATE,trailer_ASE,trailer_AOE,trailer_AVE,trailer_AAE,barrier_AP_0.5,barrier_AP_1.0,barrier_AP_2.0,barrier_AP_4.0,barrier_ATE,barrier_ASE,barrier_AOE,barrier_AVE,barrier_AAE,motorcycle_AP_0.5,motorcycle_AP_1.0,motorcycle_AP_2.0,motorcycle_AP_4.0,motorcycle_ATE,motorcycle_ASE,motorcycle_AOE,motorcycle_AVE,motorcycle_AAE,bicycle_AP_0.5,bicycle_AP_1.0,bicycle_AP_2.0,bicycle_AP_4.0,bicycle_ATE,bicycle_ASE,bicycle_AOE,bicycle_AVE,bicycle_AAE,pedestrian_AP_0.5,pedestrian_AP_1.0,pedestrian_AP_2.0,pedestrian_AP_4.0,pedestrian_ATE,pedestrian_ASE,pedestrian_AOE,pedestrian_AVE,pedestrian_AAE,traffic_cone_AP_0.5,traffic_cone_AP_1.0,traffic_cone_AP_2.0,traffic_cone_AP_4.0,traffic_cone_ATE,traffic_cone_ASE,traffic_cone_AOE,traffic_cone_AVE,traffic_cone_AAE,NDS,mAP,model,subset,experiment_name,gpu_type,max_epochs
20260511_181619,,1,0.3929,0.5434,0.648,0.7065,0.32930000000000004,0.1811,0.7177,0.9148000000000001,0.3421,0.5158,0.3186,1.1485,1.0185,0.36710000000000004,0.0396,0.1107,0.1925,0.2368,0.5617,0.2993,0.7311000000000001,0.9279000000000001,0.4022,0.0,0.0028,0.0236,0.038200000000000005,0.8696,0.48510000000000003,1.5369000000000002,0.1729,0.3688,0.0661,0.19390000000000002,0.3297,0.38630000000000003,0.596,0.2277,1.3168,2.4116,0.6458,0.0002,0.0137,0.0258,0.06960000000000001,0.7087,0.29660000000000003,1.3437000000000001,0.4894,0.20450000000000002,0.061900000000000004,0.17400000000000002,0.2142,0.2607,0.6213000000000001,0.36050000000000004,0.3225,,,0.0776,0.1373,0.1615,0.17250000000000001,0.4113,0.2847,1.4093,1.8322,0.4672,0.0,0.0,0.0,0.0,0.37870000000000004,0.3002,1.3751,0.3335,0.0511,0.36970000000000003,0.4879,0.5169,0.5481,0.4015,0.2985,1.5836000000000001,1.0658,0.4549,0.15410000000000001,0.1675,0.1835,0.22290000000000001,0.2801,0.4519,,,,0.278986095766773,0.198266160985431,centerpoint,20pct,centerpoint_nuscenes_20pct_10ep_run1,rtx4090,10
20260511_181619,,2,0.492,0.6376000000000001,0.7106,0.7526,0.27090000000000003,0.177,0.5138,0.7783,0.2748,0.4556,0.2954,0.9540000000000001,0.9374,0.3018,0.0835,0.1993,0.2826,0.3239,0.4913,0.2574,0.5045000000000001,1.0611,0.40700000000000003,0.0,0.0152,0.056100000000000004,0.10690000000000001,0.7865000000000001,0.44470000000000004,1.4301,0.15280000000000002,0.3395,0.1227,0.29410000000000003,0.4233,0.44920000000000004,0.513,0.1923,0.6533,1.9168,0.5573,0.0111,0.0761,0.11370000000000001,0.16,0.6305000000000001,0.2553,1.3726,0.4702,0.229,0.09240000000000001,0.2351,0.28140000000000004,0.32580000000000003,0.5773,0.3672,0.24760000000000001,,,0.16720000000000002,0.2311,0.2516,0.2635,0.3381,0.2565,1.0213,1.8372000000000002,0.2361,0.0143,0.0172,0.0177,0.0193,0.28450000000000003,0.294,1.3217,0.2937,0.0304,0.4324,0.553,0.5863,0.6202000000000001,0.4063,0.28850000000000003,1.5208,0.989,0.3406,0.24810000000000001,0.2644,0.2853,0.3361,0.2574,0.42160000000000003,,,,0.337483648734687,0.26381694043424103,centerpoint,20pct,centerpoint_nuscenes_20pct_10ep_run1,rtx4090,10
20260511_181619,,3,0.5181,0.6636000000000001,0.7349,0.7708,0.2696,0.17270000000000002,0.4092,0.6823,0.2316,0.4328,0.2893,0.8433,0.8315,0.2662,0.109,0.233,0.3121,0.3537,0.45990000000000003,0.2421,0.418,0.7232000000000001,0.3204,0.0004,0.0239,0.09580000000000001,0.1474,0.7882,0.4339,1.2817,0.1441,0.3687,0.1552,0.3703,0.5175000000000001,0.5706,0.5018,0.19390000000000002,0.5497000000000001,1.6057000000000001,0.43770000000000003,0.0188,0.0917,0.14150000000000001,0.20040000000000002,0.6121,0.24830000000000002,1.3081,0.4166,0.1794,0.1593,0.32,0.3739,0.41150000000000003,0.47650000000000003,0.3441,0.19310000000000002,,,0.178,0.23470000000000002,0.24910000000000002,0.2585,0.30760000000000004,0.26380000000000003,0.8056000000000001,1.6662,0.2144,0.056100000000000004,0.06620000000000001,0.0682,0.0734,0.2746,0.2904,1.121,0.45220000000000005,0.0477,0.4733,0.5725,0.6013000000000001,0.6317,0.3803,0.2916,1.5032999999999999,0.9616,0.32930000000000004,0.3173,0.3401,0.3624,0.4173,0.2579,0.4121,,,,0.38611290719808505,0.30483808100139304,centerpoint,20pct,centerpoint_nuscenes_20pct_10ep_run1,rtx4090,10
20260511_181619,,4,0.5526,0.6964,0.7639,0.7939,0.252,0.16920000000000002,0.38120000000000004,0.6238,0.2273,0.418,0.2844,0.8277,0.7567,0.2723,0.1434,0.2859,0.3578,0.3986,0.4264,0.2369,0.39540000000000003,0.6753,0.3516,0.0,0.0154,0.08270000000000001,0.1762,0.8974000000000001,0.4586,1.5577,0.15330000000000002,0.3294,0.2361,0.4466,0.5934,0.6412,0.43110000000000004,0.19,0.5164,1.3846,0.4549,0.0426,0.1653,0.2242,0.28800000000000003,0.5711,0.21710000000000002,1.2549000000000001,0.4549,0.20720000000000002,0.1857,0.3428,0.4143,0.4577,0.4793,0.3448,0.23800000000000002,,,0.22490000000000002,0.2922,0.3123,0.3174,0.3009,0.2504,0.718,1.4437,0.24980000000000002,0.0732,0.0813,0.0819,0.083,0.2592,0.2796,0.9651000000000001,0.3965,0.046400000000000004,0.529,0.6263000000000001,0.6538,0.682,0.3345,0.2863,1.4226,0.9216000000000001,0.31170000000000003,0.3038,0.3209,0.34,0.38270000000000004,0.2277,0.4111,,,,0.41421417530625004,0.34023754261883205,centerpoint,20pct,centerpoint_nuscenes_20pct_10ep_run1,rtx4090,10
20260512_001903,,5,0.5749000000000001,0.7132000000000001,0.7761,0.8062,0.24050000000000002,0.1695,0.328,0.6426000000000001,0.2368,0.40190000000000003,0.2853,0.7312000000000001,0.7338,0.2575,0.1497,0.2978,0.3902,0.438,0.4368,0.2315,0.3181,0.6366,0.3115,0.0021000000000000003,0.034,0.1115,0.1797,0.7943,0.43970000000000004,1.4168,0.1448,0.3523,0.2399,0.4817,0.5986,0.6457,0.42060000000000003,0.1903,0.3367,1.4867,0.4364,0.0269,0.1199,0.1817,0.23320000000000002,0.6081,0.24430000000000002,1.1173,0.5018,0.1703,0.1661,0.2912,0.3317,0.3663,0.4451,0.3361,0.20980000000000001,,,0.26280000000000003,0.32680000000000003,0.3365,0.3416,0.2696,0.2627,0.6167,1.1163,0.24050000000000002,0.1139,0.126,0.1268,0.1283,0.2391,0.28140000000000004,0.809,0.3934,0.028,0.5529000000000001,0.6456000000000001,0.6714,0.6965,0.32430000000000003,0.2857,1.4284,0.9482,0.28450000000000003,0.34590000000000004,0.372,0.3965,0.4441,0.241,0.41150000000000003,,,,0.434576572821938,0.35110674104669404,centerpoint,20pct,centerpoint_nuscenes_20pct_10ep_run1,rtx4090,10
20260512_001903,,6,0.5874,0.7266,0.7881,0.8139000000000001,0.23920000000000002,0.17070000000000002,0.3039,0.5926,0.2204,0.391,0.2843,0.6924,0.6725,0.2442,0.1641,0.3043,0.3798,0.42460000000000003,0.4178,0.22870000000000001,0.3326,0.5511,0.28240000000000004,0.0001,0.0268,0.0936,0.16040000000000001,0.8260000000000001,0.4562,1.2829000000000002,0.14980000000000002,0.33990000000000004,0.27040000000000003,0.5233,0.6362,0.6721,0.392,0.19460000000000002,0.2627,1.4277,0.40240000000000004,0.024,0.1145,0.1766,0.2636,0.5915,0.2341,1.1125,0.37920000000000004,0.1148,0.1952,0.3136,0.3613,0.3934,0.4046,0.3285,0.17930000000000001,,,0.27440000000000003,0.3509,0.3647,0.3699,0.2741,0.2591,0.6548,1.1432,0.2649,0.0935,0.1057,0.1061,0.1073,0.2394,0.2777,0.8104,0.3346,0.0291,0.5669000000000001,0.6367,0.6643,0.6929000000000001,0.3007,0.2867,1.2922,0.802,0.2997,0.3547,0.3783,0.3997,0.4405,0.2243,0.40700000000000003,,,,0.450570031076562,0.358013160813607,centerpoint,20pct,centerpoint_nuscenes_20pct_10ep_run1,rtx4090,10
20260512_001903,,7,0.5995,0.7351000000000001,0.7973,0.8233,0.2351,0.1675,0.2851,0.5704,0.223,0.38180000000000003,0.2848,0.6574,0.6464000000000001,0.2403,0.20770000000000002,0.3614,0.4273,0.4737,0.3871,0.2204,0.33590000000000003,0.4713,0.28350000000000003,0.00030000000000000003,0.0381,0.12290000000000001,0.2262,0.8131,0.4545,1.3335,0.1535,0.3471,0.2738,0.5538000000000001,0.6642,0.6975,0.4077,0.2,0.2233,1.4113,0.39480000000000004,0.0364,0.1471,0.2028,0.2768,0.5577,0.248,1.1054,0.4544,0.1447,0.21960000000000002,0.34650000000000003,0.3976,0.4312,0.41440000000000005,0.33240000000000003,0.18560000000000001,,,0.2876,0.3573,0.3652,0.372,0.25680000000000003,0.2538,0.5573,1.065,0.2391,0.1504,0.1625,0.1632,0.1648,0.23420000000000002,0.2822,0.7828,0.3653,0.0245,0.6162000000000001,0.6766,0.7018,0.7285,0.27940000000000004,0.2909,1.1073,0.6798000000000001,0.266,0.38430000000000003,0.41540000000000005,0.43920000000000003,0.4838,0.23290000000000002,0.39840000000000003,,,,0.47304400962297705,0.388223540865887,centerpoint,20pct,centerpoint_nuscenes_20pct_10ep_run1,rtx4090,10
20260512_001903,,8,0.5994,0.7376,0.7966000000000001,0.8219000000000001,0.2343,0.16670000000000001,0.28250000000000003,0.5397000000000001,0.214,0.3791,0.2802,0.6312,0.6496000000000001,0.2325,0.20370000000000002,0.3547,0.4213,0.4642,0.384,0.2156,0.3159,0.4863,0.2646,0.00030000000000000003,0.0415,0.12610000000000002,0.22260000000000002,0.794,0.44980000000000003,1.2792,0.1516,0.3307,0.28200000000000003,0.5477000000000001,0.6649,0.7029000000000001,0.40340000000000004,0.185,0.23850000000000002,1.404,0.39390000000000003,0.0362,0.1689,0.2358,0.31620000000000004,0.5730000000000001,0.2308,1.0945,0.46140000000000003,0.1448,0.21480000000000002,0.3386,0.3896,0.4228,0.4078,0.332,0.18380000000000002,,,0.2962,0.377,0.38780000000000003,0.39440000000000003,0.264,0.2521,0.535,1.177,0.2484,0.1505,0.1658,0.1665,0.16840000000000002,0.2321,0.279,0.7555000000000001,0.35660000000000003,0.0241,0.6408,0.6944,0.7202000000000001,0.7442000000000001,0.2596,0.29050000000000004,0.9963000000000001,0.6204000000000001,0.23950000000000002,0.3816,0.41350000000000003,0.4363,0.48310000000000003,0.2388,0.40090000000000003,,,,0.47936686828770403,0.39327164515268004,centerpoint,20pct,centerpoint_nuscenes_20pct_10ep_run1,rtx4090,10
20260512_111845,,9,0.6063000000000001,0.7411,0.7995,0.8274,0.23120000000000002,0.1658,0.2681,0.537,0.21710000000000002,0.374,0.28090000000000004,0.622,0.6167,0.2288,0.2033,0.362,0.4345,0.47650000000000003,0.3911,0.2157,0.3084,0.4848,0.2634,0.0013000000000000002,0.044500000000000005,0.1268,0.2233,0.7836000000000001,0.44970000000000004,1.2876,0.15710000000000002,0.33280000000000004,0.289,0.5551,0.6767000000000001,0.7113,0.4005,0.1897,0.22410000000000002,1.3516,0.3876,0.034800000000000005,0.1751,0.2393,0.3111,0.5645,0.2379,1.1114,0.4035,0.12050000000000001,0.22460000000000002,0.3427,0.3935,0.4272,0.4012,0.33080000000000004,0.1899,,,0.3133,0.38680000000000003,0.395,0.401,0.2556,0.254,0.5304,1.0596,0.254,0.1589,0.1716,0.17220000000000002,0.1743,0.2258,0.2767,0.7147,0.3411,0.0216,0.6496000000000001,0.7008,0.7259,0.7511,0.2569,0.2902,0.9636,0.5988,0.2331,0.3795,0.4111,0.4339,0.4757,0.2293,0.39830000000000004,,,,0.48686403275712203,0.39819253392613,centerpoint,20pct,centerpoint_nuscenes_20pct_10ep_run1,rtx4090,10
20260512_111845,,10,0.6083000000000001,0.7449,0.8044,0.8302,0.23440000000000003,0.1665,0.2753,0.5514,0.2189,0.377,0.2827,0.6237,0.6239,0.2313,0.21050000000000002,0.3672,0.446,0.48860000000000003,0.396,0.2182,0.3184,0.4824,0.2818,0.0001,0.0438,0.1272,0.2243,0.8006000000000001,0.4597,1.2372,0.1569,0.3335,0.29150000000000004,0.5593,0.6672,0.6981,0.393,0.1867,0.2238,1.3515000000000001,0.3915,0.033800000000000004,0.1656,0.2182,0.2963,0.5585,0.23470000000000002,1.1254,0.4423,0.1359,0.226,0.3472,0.3985,0.433,0.4081,0.335,0.19390000000000002,,,0.30970000000000003,0.3849,0.3941,0.3992,0.261,0.2538,0.5396000000000001,1.0749,0.23500000000000001,0.1602,0.17450000000000002,0.1751,0.1768,0.2315,0.2805,0.7416,0.3381,0.0218,0.6454000000000001,0.6967,0.7215,0.7466,0.25730000000000003,0.2911,0.9585,0.5937,0.23190000000000002,0.38,0.4111,0.43420000000000003,0.4781,0.2295,0.40080000000000005,,,,0.48511260990582206,0.39795387635244406,centerpoint,20pct,centerpoint_nuscenes_20pct_10ep_run1,rtx4090,10
